Index,ImageID
1283,n01530575/2_n01530575_10021.JPEG
1462,n01530575/2_n01530575_25172.JPEG
3081,n01534433/1_n01534433_8375.JPEG
4315,n01537544/1_n01537544_1823.JPEG
4770,n01537544/1_n01537544_3838.JPEG
8498,n01729977/1_n01729977_15800.JPEG
11855,n01817953/1_n01817953_10539.JPEG
13069,n01817953/1_n01817953_964.JPEG
13923,n01914609/1_n01914609_11607.JPEG
14214,n01914609/1_n01914609_1929.JPEG
17080,n02011460/2_n02011460_2440.JPEG
17299,n02011460/2_n02011460_7752.JPEG
17971,n02037110/1_n02037110_304.JPEG
20910,n02051845/2_n02051845_37305.JPEG
23196,n02088238/3_n02088238_9933.JPEG
23672,n02090622/1_n02090622_3786.JPEG
24007,n02090622/1_n02090622_6055.JPEG
24975,n02090622/2_n02090622_964.JPEG
25645,n02092002/1_n02092002_15882.JPEG
28492,n02092339/2_n02092339_4599.JPEG
29229,n02099601/1_n02099601_2505.JPEG
29561,n02099601/1_n02099601_4245.JPEG
30364,n02099601/2_n02099601_3573.JPEG
30510,n02099601/2_n02099601_7157.JPEG
31278,n02101388/1_n02101388_2597.JPEG
32047,n02101388/2_n02101388_1585.JPEG
32071,n02101388/2_n02101388_19705.JPEG
33123,n02108089/1_n02108089_2907.JPEG
33817,n02108089/2_n02108089_149.JPEG
33850,n02108089/2_n02108089_178.JPEG
35688,n02110185/2_n02110185_15054.JPEG
36004,n02110185/3_n02110185_10815.JPEG
37550,n02110806/2_n02110806_1577.JPEG
37771,n02110806/2_n02110806_4483.JPEG
39244,n02116738/2_n02116738_10154.JPEG
42057,n02317335/1_n02317335_37238.JPEG
42552,n02317335/2_n02317335_13523.JPEG
44108,n02342885/1_n02342885_6432.JPEG
44643,n02342885/2_n02342885_3382.JPEG
47067,n02443114/1_n02443114_11202.JPEG
48215,n02443114/1_n02443114_8125.JPEG
48313,n02443114/2_n02443114_10306.JPEG
49667,n02481823/1_n02481823_2291.JPEG
51662,n02492660/1_n02492660_4523.JPEG
52066,n02492660/1_n02492660_8547.JPEG
54211,n02667093/2_n02667093_1777.JPEG
54399,n02667093/2_n02667093_4545.JPEG
55601,n02672831/1_n02672831_26411.JPEG
55633,n02672831/1_n02672831_27513.JPEG
58593,n02704792/1_n02704792_9051.JPEG
59682,n02782093/1_n02782093_29129.JPEG
60045,n02782093/1_n02782093_449.JPEG
61635,n02786058/1_n02786058_17249.JPEG
61788,n02786058/1_n02786058_3493.JPEG
62066,n02786058/1_n02786058_8576.JPEG
62793,n02786058/2_n02786058_3493.JPEG
64427,n02795169/1_n02795169_66231.JPEG
64523,n02795169/1_n02795169_7803.JPEG
65373,n02795169/3_n02795169_25976.JPEG
65654,n02799071/1_n02799071_13475.JPEG
67014,n02799071/2_n02799071_21958.JPEG
